N,Yes,Unknown,No,Capacity,Question
48,3,4,5,E,"Правда ли, что Вы предпочитаете быть зрителем, нежели участником соревнований?"
49,6,4,4,G,Легко ли Вам относиться непредвзято к происшедшему?
50,4,4,3,I,Есть ли у Вас четкие устоявшиеся нормы вежливого поведения с членами Вашей семьи?
51,5,4,2,E,"Можете ли Вы быть ""заводилой"" на вечеринках?"
52,3,4,4,A,"Стали бы Вы ""покупать вещи в кредит"" с надеждой, что сможете найти средства погашать этот кредит?"
53,3,4,6,C,"Бывает ли у Вас реакция после того, как произошло что-нибудь неожиданное, например, несчастный случай или другое неприятное происшествие?"
54,6,3,3,I,"Правда ли, что Вы больше считаетесь с интересами группы людей, нежели со своими личными интересами?"
55,2,5,6,G,"Когда Вы слушаете лектора, посещает ли Вас иногда мысль, что лектор обращается исключительно к Вам?"
56,5,3,3,C,Посторонние шумы редко мешают Вам сосредоточиться?
57,5,4,4,E,"Всегда ли Вы ""в курсе дел"", происходящих ежедневно?"
58,6,3,3,A,Умеете ли Вы уверенно запланировать что-нибудь и работать в направлении его реализации за шесть месяцев вперед?
59,1,3,5,I,"Считаете ли Вы, что современная система ""тюрьмы без решеток"" обречена на неудачу?"
60,2,5,6,G,"Имеете ли Вы склонность к тому, чтобы быть беззаботным и не тревожиться ни о чем?"
61,2,4,6,D,"Бывает ли у Вас ощущение, что Вам все снится, когда все в жизни кажется нереальным?"
62,5,4,4,B,Быстро ли Вы отходите от воздействия плохих новостей?
63,5,4,4,H,"Когда Вы критикуете кого-нибудь, пытаетесь ли Вы в то же самое время его подбодрить?"
64,2,2,6,J,Считают ли Вас обычно холодным человеком?
65,4,4,5,F,"Думаете ли Вы, что Ваши мнения недостаточно важны, чтобы сообщать их другим людям?"
66,6,4,3,F,"Являетесь ли Вы настолько самоуверенным, что это иногда раздражает других?"
67,2,4,5,D,"Держите ли Вы ""в поле зрения"" вещи, которые Вы дали на время своим друзьям."
68,6,4,3,B,"Доставляет ли Вам удовольствие деятельность, выбранная самостоятельно?"
69,6,3,3,J,Оказывает ли на Вас сильное воздействие эмоциональная музыка.
70,4,4,5,H,"Правда ли, что Вы полностью осуждаете человека из-за того, что он Ваш соперник или оппонент в каком-то вопросе Ваших с ним отношений?"
71,3,5,6,B,"Часто ли Вы ""сидите и размышляете"" о смерти, болезни, боли и печали?"
72,3,4,4,F,Беспокоит ли Вас мысль о потере чувства собственного достоинства?
73,2,4,5,D,"Верно ли, что Вы постоянно собираете вещи, которые ""смогли бы впоследствии пригодиться""?"
74,2,4,6,H,Стали бы Вы критиковать недостатки и указывать человеку на плохие черты его характера или на плохо сделанную им работу?
75,5,3,3,J,Открыто ли Вы выражаете свое восхищение красивыми вещами?
76,1,3,6,D,"Бывает ли, что Вы отдаете вещи, которые, строго говоря, Вам не принадлежат?"
77,6,2,2,J,Эмоционально ли Вы приветствуете людей?
78,2,5,6,B,Часто ли Вы размышляете о неудачах прошлого?
79,5,4,3,F,Считают ли Вас иногда властным человеком в Ваших действиях и взглядах?
80,6,3,3,H,Легко ли и без обид воспринимаете критику?
81,6,3,3,C,"Обычно Вас не беспокоит ""полная тишина"", когда Вы хотите отдохнуть?"
82,3,4,6,G,Склонны ли Вы быть ревнивым?
83,3,3,6,A,"Правда ли, что Вы склонны откладывать что-то на потом, а затем обнаруживается, что уже слишком поздно?"
84,6,3,2,I,"Верно ли, что Вы предпочитаете действовать в соответствии с пожеланиями других, чем стремитесь делать все по-своему?"
85,6,3,3,E,Легко ли Вам начать выполнение какого-либо дела?
86,2,4,6,C,Есть ли у Вас привычка грызть свои ногти или кончик карандаша?
87,3,3,5,A,"Бывает ли так, что для создания какого-то эффекта Вы увеличиваете степень выражения своих эмоций?"
88,5,4,3,I,"Если бы Ваша страна вторглась в другую страну, сочувствовали бы Вы тем ее гражданам, которые отказались от военной службы по политическим или религиозным убеждениям?"
89,2,5,6,G,"Есть ли у Вас чувствительные места, затрагивание которых вызывает Вашу болезненную реакцию?"
90,3,3,5,E,"Правда ли, что у Вас небольшой круг интересов и видов деятельности, которыми Вы занимаетесь по собственному выбору?"
91,3,4,6,C,"Бывает ли так, что у Вас появляется мысль, овладевающая Вашим сознанием на несколько дней?"
92,3,4,4,E,Медленно ли Вы едите?
93,5,3,3,A,"Можете ли Вы оказать стабилизирующее воздействие, когда другие начинают паниковать?"
94,5,4,4,I,"Остановитесь ли Вы и попытаетесь узнать, нужна ли человеку помощь, если ее непосредственно не попросили?"
95,3,4,5,G,"Склонны ли Вы думать, что Ваша школа, колледж, клуб, коллектив и т. п. лучше других?"
96,6,4,2,A,"Оплачиваете ли Вы свои долги и сдерживаете ли Вы свои обещания, если это возможно?"
97,5,5,3,C,Хорошо ли Вы спите?
98,4,4,5,I,"Примените ли Вы телесное наказание к ребенку в возрасте 10 лет, если бы он отказался Вас слушаться?"
99,2,4,5,E,"Предпочитаете ли Вы занимать пассивную роль в любой группе или организации, к которой принадлежите?"
100,4,3,1,G,Присутствует ли логика и научный подход в Вашем образе мыслей?
101,5,4,4,B,"Верно ли, что современная молодежь имеет больше возможностей, чем молодежь предыдущего поколения?"
102,2,3,5,D,"Бывает ли так, что Вы выбрасываете свои вещи, а позже обнаруживаете их необходимость?"
103,4,4,6,F,"Легко ли бы Вы отказались от выбранного направления действий, если бы он причинил [?оно причинило?] Вам незначительное число затруднений?"
104,2,3,6,J,"Верно ли то, что Вас сильно волнуют только некоторые определенные темы?"
105,6,4,3,H,"Правда ли, что Вы редко подвергаете сомнениям поступки других людей?"
106,2,3,7,B,"Верно ли, что иногда Вы спрашиваете себя о том, заботиться ли о Вас кто-то по-настоящему?"
107,2,3,6,F,"Отказываетесь ли Вы от ответственности за что-либо из-за Ваших сомнений, что Вы можете с этим не справиться?"
108,3,4,5,D,"Чувствуете ли Вы, что иногда Вы должны повторять несколько раз какую-то интересную новость или слух?"
109,3,4,5,H,Имеете ли Вы склонность преувеличивать оправданную обиду?
110,5,4,4,J,"Правда ли, что выражение вашего лица скорее изменчиво, чем постоянно?"
111,2,4,5,D,Нуждаетесь ли Вы обычно в подтверждении или отказе от однажды высказанного Вами мнения?
112,6,2,2,J,Восхищаетесь ли Вы открыто и искренне красотой других людей?
113,6,4,3,B,Трудно ли Вам рассматривать предмет самоубийства?
114,6,4,3,F,Считаете ли Вы себя энергичным в Вашем отношении к жизни?
115,3,4,6,H,Может ли расхождение во мнениях повлиять на Ваши общие отношения с другим человеком?
116,6,4,3,B,"Правда ли, что Ваши незначительные неудачи редко Вас беспокоят?"
117,3,4,5,D,"Иногда Вы чувствуете, что говорите слишком много?"
118,7,2,2,J,Часто ли Вы улыбаетесь?
119,5,4,3,H,"Являетесь ли Вы тем человеком, которому легко доставить удовольствие?"
120,5,4,3,F,"Когда Вы встречаете открытое сопротивление, попытаетесь ли все-таки сделать что-то по-своему?"
121,4,4,5,E,"Если расстояние не слишком большое, Вы предпочитаете ехать на транспорте, нежели идти пешком?"
122,3,4,6,C,"Беспокоит ли Вас когда-нибудь шум ветра или ""осаживающегося дома""?"
123,5,4,3,G,"Оказывает ли влияние на формирование Вашего мнения взгляд на вещи с позиции Вашего жизненного опыта, профессии, образования?"
124,2,3,6,A,Часто ли совершаете бестактные ошибки?
125,1,3,4,I,"Относитесь ли Вы с подозрением к людям, которые просят у Вас денег взаймы?"
126,4,4,6,G,Оказывают ли влияние на Ваши решения Ваши личные интересы?
127,5,4,4,E,"Можете ли Вы прийти в восторг от какой-нибудь ""простой мелочи""?"
128,3,4,6,A,"Часто ли Вы предпринимаете действия, несмотря на то, что Ваш собственный здравый смысл указывает на обратное?"
129,2,5,6,I,Являетесь ли Вы сторонником разделения людей по цвету кожи и классовой принадлежности?
130,3,5,6,C,"Присущи ли Вам привычки, подобные поглаживанию волос, носа, ушей и т.п.?"
131,5,3,2,A,"Можете ли Вы быстро приспособиться и воспользоваться новыми условиями и ситуациями, даже если они могут оказаться трудными?"
132,2,4,6,C,"Могут ли некоторые звуки вызывать у Вас крайне неприятные ощущения, такие, будто ""зубы сводит""?"
133,6,4,3,G,"Можете ли Вы понять точку зрения другого человека, если Вы этого захотите?"
134,4,4,3,E,"Вы ложитесь спать скорее когда хотите, нежели по часам?"
135,2,4,5,I,"Теряете ли Вы терпение из-за ""мелких недостатков"" других людей?"
136,3,5,5,C,Раздражают ли Вас дети?
137,3,3,6,E,"Вы менее разговорчивы, чем Ваши знакомые?"
138,5,3,3,A,Выполняете ли Вы обычно поручения быстро и систематично?
139,5,4,4,I,"Оказали ли бы Вы помощь попутчику, нежели предоставили бы это официальным лицам?"
140,2,5,6,G,"Когда Вы голосуете, голосуете ли Вы за одну и ту же партию вместо того, чтобы изучить кандидатов и их предвыборные программы?"
141,2,5,6,B,Часто ли Вы размышляете о своих прошлых болезнях и болезненных переживаниях?
142,1,3,5,D,"Становится ли Вам совсем не по себе, если вокруг беспорядок?"
143,2,4,6,H,"Критикуете ли Вы обычно фильм или спектакль, который Вы смотрите, или книгу, которую Вы читаете?"
144,5,4,3,J,"Рассказывая какой-нибудь забавный случай, можете ли Вы легко подражать манерам или речи участников этого случая?"
145,5,5,3,F,"В тех областях, где Вы не являетесь специалистом, является ли Ваше мнение достаточно важным, чтобы высказывать его другим людям?"
146,1,3,5,D,"Склонны ли Вы прибираться в чужом доме, если там беспорядок?"
147,6,4,4,F,"Легко ли Вам смириться с поражением, при этом не испытывая чувства досады?"
148,3,4,6,B,Часто ли Вы чувствуете себя подавленным?
149,3,5,5,J,Бывает ли Вам неловко в обществе детей?
150,2,5,6,H,"Расстраиваетесь ли Вы, если не можете что-то сделать, вместо того, чтобы найти замену этой деятельности?"
151,2,5,6,B,Бываете ли Вы иногда не в состоянии полностью постичь суть вещей?
152,6,5,3,H,Редко ли Вы выражаете свое недовольство?
153,2,4,6,D,"Работаете ли Вы ""рывками"", будучи относительно пассивным, а затем чрезмерно активным в течение одного-двух дней?"
154,3,3,5,F,Беспокоит ли Вас определенное количество незавершенных текущих дел?
155,7,1,1,J,Нравится ли людям быть в Вашем обществе?
156,6,4,2,D,Можете ли Вы не вмешиваться при окончании решения кроссворда другим человеком?
157,7,5,2,H,Считаетесь ли Вы с лучшими сторонами большинства людей и лишь редко отзываетесь неуважительно о них?
158,5,5,3,B,Охотно ли Вы смеетесь или улыбаетесь?
159,5,4,2,F,Являются ли Ваш голос и манеры определенными и выразительными?
160,2,2,6,J,"Проявляете ли Вы свою несдержанность только по отношению к близким друзьям, если Вы вообще ее проявляете?"
161,2,5,6,G,"Представляют ли Ваши интересы и области знаний для Вас такую важность, что оставляют Вам мало времени для чего-нибудь другого?"
162,6,4,3,E,"Хотелось ли бы Вас начать ""новое дело"" рядом с тем местом, где Вы живете?"
163,5,4,4,I,"Предпримите ли Вы необходимые действия с целью убить животное для того, чтобы избавить его от боли?"
164,5,5,2,C,Легко ли Вам расслабиться?
165,6,3,3,A,Вы мало сожалеете о прошлых невзгодах и неудачах?
166,3,3,6,C,Вызывают ли у Вас физическую реакцию мрачные предчувствия или мысль о страхе?
167,6,4,2,G,"Можете ли Вы положиться на то, что подсказывает Ваш здравый смысл в эмоциональной ситуации, в которую Вы попали?"
168,6,4,3,E,Мог бы кто-то еще считать Вас по-настоящему активным?
169,2,3,6,A,"Трудно ли Вам приступить к делу, которое необходимо выполнить?"
170,3,4,5,I,"Являетесь ли Вы противником ""системы испытательных сроков"" в отношении преступников?"
171,3,3,6,C,Тратите ли Вы много времени на беспокойство по пустякам?
172,3,4,6,G,"Во время спора трудно ли Вам понять, почему другой человек не может принять Вашу точку зрения и, таким образом, согласиться с Вами?"
173,6,3,2,A,Достаточно ли хорошо Вы справляетесь с проблемами повседневной жизни?
174,5,4,3,I,Бываете ли Вы обычно правдивы с окружающими?
175,0,1,5,E,"Вы предпочитаете ждать развития событий вместо того, чтобы начать действовать самому?"
176,2,2,6,A,"Также легко Вы тратите деньги, как их зарабатываете?"
177,6,4,4,C,"Способны ли Вы пойти на ""обоснованный риск"" без особых волнений?"
178,5,3,3,I,"Если бы Вы попали в незначительную автомобильную аварию, потрудились бы Вы позаботиться, чтобы ущерб, причиненный Вами, был возмещен?"
179,0,1,5,E,Другие люди помыкают Вами?
180,3,5,6,G,"Проявляете ли Вы снисходительность к своим друзьям в тех случаях, когда к другим Вы отнеслись бы более строго?"
181,3,3,6,B,Часто ли размышляете о своей неполноценности?
182,3,4,6,H,"Бывает ли так, что люди критикуют Вас в разговоре с другими людьми?"
183,2,4,6,J,"Смущают ли Вас проявления сердечности при встрече, такие как поцелуй, крепкое объятие, похлопывание по спине, если это происходит на людях?"
184,3,4,6,D,"Часто ли Вам приходится не делать то, что хотелось бы, считаясь с желаниями других людей?"
185,6,6,3,F,"Часто ли Вы убеждены в правильности Вашей точки зрения о предмете, даже если Вы не являетесь специалистом по данному вопросу?"
186,1,3,5,D,"Часто ли Вы оказываетесь в ситуациях, когда Вам приходится ""заниматься всеми делами"" одновременно (""работать на несколько фронтов"")?"
187,3,3,5,F,"Кажется ли Вам, что Ваши знакомые более высокого мнения о Ваших способностях, чем Вы сами?"
188,2,2,6,B,Ужасает ли Вас мысль о смерти или даже напоминание о ней?
189,3,5,5,H,"Урегулировав спорный вопрос, продолжаете ли Вы чувствовать недовольство какое-то время?"
190,6,2,2,J,"Есть ли дружелюбие в Вашем голосе, отношении и выражении лица?"
191,1,4,5,D,Кажется ли Вам жизнь нереальной и довольно смутной?
192,2,4,6,B,Часто ли Вы расстраиваетесь из-за судьбы жертв войны и политических беженцев?
193,5,4,3,J,"Обращаются ли к Вам за помощью или советом ""просто знакомые"" со своими личными проблемами?"
194,4,5,6,H,"Если Вы теряете какую-то вещь, приходит ли Вам в голову мысль о том, что ""кто-то, должно быть, украл ее или положил не туда""?"
195,6,4,2,F,"Если бы Вы подумали, что кто-то относится к Вам и к Вашим действиям с подозрением, стали бы Вы выяснять с ними этот вопрос вместо того, чтобы предоставить им самим во всем разобраться?"
196,2,5,6,B,"Чувствуете ли Вы, что Ваш возраст работает не на Вас (что Вы слишком молоды или слишком стары)?"
197,2,4,5,D,Бывают ли у Вас приступы грусти и подавленности без всякой причины?
198,2,5,6,H,"Часто ли Вы ворчите об условиях жизни, с которыми Вам приходится сталкиваться?"
199,0,3,5,F,Имеете ли Вы склонность прятать свои чувства?
200,5,3,3,J,"Считаете ли Вы, что у Вас много задушевных друзей?"
